Rk,Player,Pos,Age,Tm,eFG%,PTS,PER,TS%,WS,BPM
1,Bam Adebayo,C,25,MIA,0.479,16.9,15.7,0.52,0.5,-1.3
2,Santi Aldama,PF,22,MEM,0.561,6.5,14.9,0.576,0.3,4
3,Nickeil Alexander-Walker,SG,24,MIN,0.571,8.4,7.7,0.578,0,-1.9
4,Grayson Allen,SG,27,MIL,0.634,11.6,11,0.658,0.2,-1.1
5,Jarrett Allen,C,24,CLE,0.611,9.4,13.8,0.608,0.6,2.4
6,Kyle Anderson,PF,29,MIN,0.533,8.5,14.9,0.551,0.2,3.7
7,Giannis Antetokounmpo,PF,28,MIL,0.528,23.3,18.8,0.525,0,2
8,Thanasis Antetokounmpo,SF,30,MIL,0,0,0,0,0,-7.5
9,Deandre Ayton,C,24,PHO,0.545,13.3,13.2,0.55,0.3,-4.1
10,Patrick Baldwin Jr.,SF,20,GSW,0,0,-7.6,0,0,-17.2
11,Mo Bamba,C,24,LAL,0,0,3,0,0,-3.1
12,Desmond Bane,SG,24,MEM,0.491,23.5,13.3,0.548,0.3,0.8
13,Harrison Barnes,PF,30,SAC,0.467,10.7,11.9,0.525,0.4,0
14,RJ Barrett,SG,22,NYK,0.496,18.9,15.3,0.538,0.7,2.6
15,Nicolas Batum,PF,34,LAC,0.579,4.4,8,0.579,0.1,-0.4
16,Malik Beasley,SG,26,LAL,0.35,3.4,4,0.414,0,-7.1
17,MarJon Beauchamp,SF,22,MIL,0.833,2.5,32.7,0.833,0,14.6
18,Saddiq Bey,SF,23,ATL,0.463,7.5,10.9,0.512,0.1,-2.1
19,Bismack Biyombo,C,30,PHO,0.533,3.6,15.5,0.567,0.1,-1.4
20,Bogdan Bogdanović,SG,30,ATL,0.694,13.3,19,0.701,0.5,6
21,Devin Booker,SG,26,PHO,0.679,36.8,31.3,0.711,2.2,12.8
22,Brandon Boston Jr.,SG,21,LAC,0,0,-49.9,0,0,-58.3
23,Christian Braun,SG,21,DEN,0.526,2.6,8,0.531,0.2,-2.8
24,Mikal Bridges,SF,26,BRK,0.494,23.5,16.3,0.539,0.1,1.4
25,Malcolm Brogdon,PG,30,BOS,0.549,15.7,17.8,0.584,0.8,0.8
26,Dillon Brooks,SF,27,MEM,0.377,10.5,2.6,0.393,-0.3,-7.5
27,Bruce Brown,SG,26,DEN,0.557,10.7,15.2,0.606,0.6,1.5
28,Jaylen Brown,SF,26,BOS,0.623,25.4,19.5,0.639,0.9,1.5
29,Troy Brown Jr.,SF,23,LAL,0.381,1.8,6.7,0.381,0.2,-1.2
30,Jalen Brunson,PG,26,NYK,0.488,24.4,19.8,0.539,1.1,6
31,Jimmy Butler,SF,33,MIA,0.603,34.4,30.3,0.645,1.5,9.1
32,Kentavious Caldwell-Pope,SG,29,DEN,0.587,9.8,10,0.603,0.6,-0.8
33,Vlatko Čančar,PF,25,DEN,0,0,-26.1,0,-0.1,-35.1
34,Clint Capela,C,28,ATL,0.605,8.3,16.4,0.615,0.3,-0.2
35,Jevon Carter,PG,27,MIL,0.278,1.3,2.7,0.278,0,-7.7
36,Justin Champagnie,SF,21,BOS,0,0,-18.4,0,0,-28.4
37,Max Christie,SG,19,LAL,0.688,2.2,20.2,0.666,0.1,6.3
38,Nic Claxton,C,23,BRK,0.72,10.5,18.4,0.714,0.4,3.4
39,Amir Coffey,SG,25,LAC,0,0,0,0,0,-5.5
40,John Collins,PF,25,ATL,0.525,11.3,10.2,0.543,0,-3.5
