Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Khris Middleton,31,5,5,173,0.6,0.541,4.4,17.6,10.6,27.1,0.8,0,14.6,28.4,116,121,17.5
2,Brook Lopez,34,5,5,182,0.653,0.634,7.8,11.5,9.7,4.6,1.8,4.3,13.1,19.3,119,116,16
3,Jrue Holiday,32,5,5,191,0.491,0.471,2.5,17.7,9.8,28.3,1.2,1,11.7,22.8,108,119,14.1
4,Giannis Antetokounmpo,28,3,3,91,0.525,0.528,9.3,29.4,19.2,32.4,0.5,1.9,17.4,36.5,100,114,15.5
5,Grayson Allen,27,5,5,149,0.658,0.634,0.7,8.6,4.6,8.3,0.6,0,8.3,13.7,125,124,8.4
6,Pat Connaughton,30,4,0,88,0.756,0.75,4.8,21.7,12.5,11.1,2.1,1.1,5.9,16.1,146,116,11.2
7,Bobby Portis,27,5,2,107,0.567,0.549,9.9,35.2,22,6.5,1.4,1.9,8.6,18.3,117,117,8.4
8,Joe Ingles,35,5,0,89,0.739,0.739,1,6.4,3.7,14,1.6,1.1,20.7,14,113,122,5.4
9,Wesley Matthews,36,2,0,41,0.667,0.667,2.9,6.8,4.7,2.9,2.2,2,0,9.2,138,115,5.4
10,Jae Crowder,32,4,0,41,0.252,0.231,2.7,8.6,5.5,8.9,2.3,0,6.7,15.6,67,122,0.4
11,MarJon Beauchamp,22,2,0,5,0.833,0.833,0,24.9,11.4,0,0,0,0,25.6,146,127,2
12,Jevon Carter,27,4,0,49,0.278,0.278,0,10.3,4.9,9.4,0.9,0,0,7.8,81,126,1
13,Goran Dragić,36,2,0,7,0.532,0,0,0,0,17.4,0,0,0,22.7,130,130,1.7
14,Thanasis Antetokounmpo,30,2,0,5,0,0,0,0,0,0,0,0,0,0,0,131,0
15,Meyers Leonard,30,2,0,5,0,0,0,24.9,11.4,0,0,0,0,8.1,0,127,-0.2
