Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011-12,22,CHI,NBA,SG,3,4,-4.9,,,,0,0,0,0,0,0,,0,0,0,0,0.033,-10.9,0.1,-10.8,0
2012-13,23,CHI,NBA,SF,12,490,14.4,0.575,0.322,0.478,2.2,13.7,7.8,10.7,1.7,1,10.3,15,0.9,0.2,1.1,0.105,0.8,1.7,2.5,0.5
2013-14,24,CHI,NBA,SG,5,218,11.4,0.507,0.351,0.404,3.1,11,6.9,8.8,1.5,0,4.3,15.5,0.2,0.2,0.4,0.096,-0.9,1.2,0.3,0.1
2014-15,25,CHI,NBA,SG,12,506,20.8,0.562,0.338,0.338,4,10.4,7.3,14.1,3,1.4,7.9,23.9,1.3,0.8,2.1,0.203,4,1.9,5.8,1
2016-17,27,CHI,NBA,SF,6,239,19.4,0.528,0.213,0.435,4.3,16.2,10.3,19.3,2.2,2.2,10.4,27.1,0.3,0.3,0.6,0.116,2.7,0.6,3.3,0.3
2017-18,28,MIN,NBA,SG,5,170,16.9,0.557,0.27,0.286,2,16.7,9.6,18.8,1.2,0.6,6.6,20.4,0.3,0,0.3,0.098,2.3,0.3,2.6,0.2
2018-19,29,PHI,NBA,SF,12,421,21.1,0.564,0.257,0.411,6,12.5,9.4,23.2,2,1.5,9.6,22.9,1.2,0.6,1.7,0.195,4.4,1.8,6.2,0.9
2019-20,30,MIA,NBA,SF,21,806,23.8,0.616,0.146,0.647,6.8,12.5,9.7,26.3,2.5,1.7,13.5,24.7,2.5,1,3.5,0.209,4.4,1.5,5.9,1.6
2020-21,31,MIA,NBA,SF,4,154,9.7,0.394,0.234,0.344,3.6,15.8,9.5,30.7,1.6,0.6,10.9,23.6,-0.3,0.1,-0.2,-0.064,-0.9,-0.5,-1.4,0
2021-22,32,MIA,NBA,SF,17,629,29.9,0.604,0.207,0.402,7.4,16.3,11.7,23.5,2.8,1.9,6.1,29.1,2.7,1.1,3.8,0.291,8.3,3.5,11.8,2.2
2022-23,33,MIA,NBA,SF,7,265,30.3,0.645,0.192,0.449,6.3,12.4,9.4,21.4,2,1.5,7.9,33.4,1.1,0.3,1.5,0.269,7.4,1.6,9.1,0.7
