Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Jimmy Butler,33,5,5,186,0.671,0.647,5.9,12.3,9,21.4,2.3,0.9,7.9,35.2,131,114,30.4
2,Bam Adebayo,25,5,5,158,0.5,0.463,7.9,22.2,15.5,21.4,2.4,1.8,16.3,28.5,101,110,13.1
3,Gabe Vincent,26,5,5,143,0.539,0.542,1.9,2.1,2.1,22.8,1,0,16.6,21.7,102,119,7.6
4,Caleb Martin,27,5,0,133,0.784,0.75,3.9,18,11.5,9.6,1.8,0,12.3,13.5,144,114,10.8
5,Kevin Love,34,5,3,109,0.653,0.603,2.4,35.5,19.2,7.7,1.3,4.2,2.6,15.3,134,106,9.7
6,Duncan Robinson,28,5,1,101,0.927,0.923,0,14.6,7.7,9.5,0.5,0,18.5,14.1,142,120,8
7,Kyle Lowry,36,5,0,106,0.554,0.53,1.2,9.9,5.7,18.7,1.8,1.8,22.6,18.1,101,114,5.3
8,Max Strus,26,5,5,148,0.621,0.604,2.8,11,6.9,2.1,1,1.2,10.4,8.5,117,118,5.1
9,Victor Oladipo,30,2,0,45,0.566,0.579,2.5,14.6,8.8,6.1,2.2,2.3,9,21.6,106,121,7.8
10,Tyler Herro,23,1,1,19,0.667,0.667,0,12.3,6.7,13.1,0,5.4,10,22.8,117,114,9
11,Haywood Highsmith,26,4,0,34,0.619,0.563,3.3,14.4,9.7,3.5,6.9,2.8,0,11.4,136,105,3.5
12,Cody Zeller,30,4,0,37,0.727,0.833,5.6,29.5,17.9,10.5,1.3,0,22.5,10.2,125,117,2.9
13,Udonis Haslem,42,1,0,2,0,0,0,44.2,24,0,0,0,0,37.3,0,103,-1.1
14,Omer Yurtseven,24,1,0,3,0,0,0,0,0,31.2,0,0,0,0,236,113,0.7
